capability_id,sdlc_activity,evidence_count,is_gap,is_empty,in_source_survey
CAP_CICD,Requirements,0,False,True,2
CAP_CICD,Design,1,True,False,2
CAP_CICD,Coding,4,False,False,2
CAP_CICD,Testing,5,False,False,2
CAP_CICD,Code Review,2,True,False,2
CAP_CICD,Debugging,6,False,False,2
CAP_CICD,Documentation,2,True,False,2
CAP_CICD,CI/CD,7,False,False,2
CAP_CICD,Project Management,2,True,False,2
CAP_CODECOMP,Requirements,1,True,False,3
CAP_CODECOMP,Design,1,True,False,3
CAP_CODECOMP,Coding,33,False,False,3
CAP_CODECOMP,Testing,8,False,False,3
CAP_CODECOMP,Code Review,6,False,False,3
CAP_CODECOMP,Debugging,9,False,False,3
CAP_CODECOMP,Documentation,5,False,False,3
CAP_CODECOMP,CI/CD,0,False,True,3
CAP_CODECOMP,Project Management,0,False,True,3
CAP_CODEGEN,Requirements,21,False,False,3
CAP_CODEGEN,Design,31,False,False,3
CAP_CODEGEN,Coding,142,False,False,3
CAP_CODEGEN,Testing,48,False,False,3
CAP_CODEGEN,Code Review,21,False,False,3
CAP_CODEGEN,Debugging,55,False,False,3
CAP_CODEGEN,Documentation,29,False,False,3
CAP_CODEGEN,CI/CD,7,False,False,3
CAP_CODEGEN,Project Management,6,False,False,3
CAP_CODEREVIEW,Requirements,3,False,False,3
CAP_CODEREVIEW,Design,6,False,False,3
CAP_CODEREVIEW,Coding,16,False,False,3
CAP_CODEREVIEW,Testing,17,False,False,3
CAP_CODEREVIEW,Code Review,44,False,False,3
CAP_CODEREVIEW,Debugging,17,False,False,3
CAP_CODEREVIEW,Documentation,11,False,False,3
CAP_CODEREVIEW,CI/CD,4,False,False,3
CAP_CODEREVIEW,Project Management,2,True,False,3
CAP_CODESEARCH,Requirements,0,False,True,1
CAP_CODESEARCH,Design,0,False,True,1
CAP_CODESEARCH,Coding,5,False,False,1
CAP_CODESEARCH,Testing,1,True,False,1
CAP_CODESEARCH,Code Review,1,True,False,1
CAP_CODESEARCH,Debugging,1,True,False,1
CAP_CODESEARCH,Documentation,1,True,False,1
CAP_CODESEARCH,CI/CD,0,False,True,1
CAP_CODESEARCH,Project Management,0,False,True,1
CAP_CODESUM,Requirements,1,True,False,1
CAP_CODESUM,Design,2,True,False,1
CAP_CODESUM,Coding,7,False,False,1
CAP_CODESUM,Testing,4,False,False,1
CAP_CODESUM,Code Review,2,True,False,1
CAP_CODESUM,Debugging,3,False,False,1
CAP_CODESUM,Documentation,7,False,False,1
CAP_CODESUM,CI/CD,0,False,True,1
CAP_CODESUM,Project Management,0,False,True,1
CAP_CODETRANS,Requirements,1,True,False,3
CAP_CODETRANS,Design,2,True,False,3
CAP_CODETRANS,Coding,6,False,False,3
CAP_CODETRANS,Testing,2,True,False,3
CAP_CODETRANS,Code Review,3,False,False,3
CAP_CODETRANS,Debugging,3,False,False,3
CAP_CODETRANS,Documentation,3,False,False,3
CAP_CODETRANS,CI/CD,1,True,False,3
CAP_CODETRANS,Project Management,1,True,False,3
CAP_COMMITMSG,Requirements,0,False,True,1
CAP_COMMITMSG,Design,0,False,True,1
CAP_COMMITMSG,Coding,2,True,False,1
CAP_COMMITMSG,Testing,1,True,False,1
CAP_COMMITMSG,Code Review,1,True,False,1
CAP_COMMITMSG,Debugging,1,True,False,1
CAP_COMMITMSG,Documentation,2,True,False,1
CAP_COMMITMSG,CI/CD,1,True,False,1
CAP_COMMITMSG,Project Management,1,True,False,1
CAP_DEBUGGING,Requirements,6,False,False,3
CAP_DEBUGGING,Design,10,False,False,3
CAP_DEBUGGING,Coding,53,False,False,3
