capability_id,sdlc_activity,evidence_count,is_gap,is_empty,in_source_survey
CAP_CICD,Requirements,0,False,True,2
CAP_CICD,Design,1,True,False,2
CAP_CICD,Coding,2,False,False,2
CAP_CICD,Testing,0,False,True,2
CAP_CICD,Code Review,0,False,True,2
CAP_CICD,Debugging,0,False,True,2
CAP_CICD,Documentation,0,False,True,2
CAP_CICD,CI/CD,2,False,False,2
CAP_CICD,Project Management,0,False,True,2
CAP_CODECOMP,Requirements,0,False,True,3
CAP_CODECOMP,Design,0,False,True,3
CAP_CODECOMP,Coding,0,False,True,3
CAP_CODECOMP,Testing,0,False,True,3
CAP_CODECOMP,Code Review,0,False,True,3
CAP_CODECOMP,Debugging,0,False,True,3
CAP_CODECOMP,Documentation,1,True,False,3
CAP_CODECOMP,CI/CD,0,False,True,3
CAP_CODECOMP,Project Management,0,False,True,3
CAP_CODEGEN,Requirements,1,True,False,3
CAP_CODEGEN,Design,0,False,True,3
CAP_CODEGEN,Coding,6,False,False,3
CAP_CODEGEN,Testing,1,True,False,3
CAP_CODEGEN,Code Review,0,False,True,3
CAP_CODEGEN,Debugging,1,True,False,3
CAP_CODEGEN,Documentation,0,False,True,3
CAP_CODEGEN,CI/CD,1,True,False,3
CAP_CODEGEN,Project Management,0,False,True,3
CAP_CODEREVIEW,Requirements,0,False,True,3
CAP_CODEREVIEW,Design,0,False,True,3
CAP_CODEREVIEW,Coding,1,True,False,3
CAP_CODEREVIEW,Testing,0,False,True,3
CAP_CODEREVIEW,Code Review,1,True,False,3
CAP_CODEREVIEW,Debugging,0,False,True,3
CAP_CODEREVIEW,Documentation,0,False,True,3
CAP_CODEREVIEW,CI/CD,0,False,True,3
CAP_CODEREVIEW,Project Management,0,False,True,3
CAP_CODESEARCH,Requirements,0,False,True,1
CAP_CODESEARCH,Design,0,False,True,1
CAP_CODESEARCH,Coding,0,False,True,1
CAP_CODESEARCH,Testing,0,False,True,1
CAP_CODESEARCH,Code Review,0,False,True,1
CAP_CODESEARCH,Debugging,0,False,True,1
CAP_CODESEARCH,Documentation,0,False,True,1
CAP_CODESEARCH,CI/CD,0,False,True,1
CAP_CODESEARCH,Project Management,0,False,True,1
CAP_CODESUM,Requirements,0,False,True,1
CAP_CODESUM,Design,0,False,True,1
CAP_CODESUM,Coding,0,False,True,1
CAP_CODESUM,Testing,1,True,False,1
CAP_CODESUM,Code Review,0,False,True,1
CAP_CODESUM,Debugging,0,False,True,1
CAP_CODESUM,Documentation,0,False,True,1
CAP_CODESUM,CI/CD,0,False,True,1
CAP_CODESUM,Project Management,0,False,True,1
CAP_CODETRANS,Requirements,0,False,True,3
CAP_CODETRANS,Design,0,False,True,3
CAP_CODETRANS,Coding,0,False,True,3
CAP_CODETRANS,Testing,0,False,True,3
CAP_CODETRANS,Code Review,0,False,True,3
CAP_CODETRANS,Debugging,0,False,True,3
CAP_CODETRANS,Documentation,0,False,True,3
CAP_CODETRANS,CI/CD,0,False,True,3
CAP_CODETRANS,Project Management,0,False,True,3
CAP_COMMITMSG,Requirements,0,False,True,1
CAP_COMMITMSG,Design,0,False,True,1
CAP_COMMITMSG,Coding,0,False,True,1
CAP_COMMITMSG,Testing,0,False,True,1
CAP_COMMITMSG,Code Review,0,False,True,1
CAP_COMMITMSG,Debugging,0,False,True,1
CAP_COMMITMSG,Documentation,0,False,True,1
CAP_COMMITMSG,CI/CD,0,False,True,1
CAP_COMMITMSG,Project Management,0,False,True,1
CAP_DEBUGGING,Requirements,1,True,False,3
CAP_DEBUGGING,Design,1,True,False,3
CAP_DEBUGGING,Coding,1,True,False,3
